feature,predictive_score
CCN1,0.0661928960833354
SLPI,0.0421176609251907
DIO2,0.0417237397780434
CEBPD,0.0338056952056805
ADAMTS1,0.0302423572940659
CALD1,0.0301202257681275
CXCL3,0.0258500404466918
CXCL2,0.0212409806700459
COL4A2,0.0171755559656969
TPM1,0.00907069792740541
MGP,0.0054559108408032
