"","fold","cvsplit","dimred","learner_id","auc","cell_selection","Model_training_phase","learner"
"79","fold1","CVsplit2","corrgpca","learner29",0.666666666666667,"all_cells","validation",NA
"80","fold1","CVsplit2","corrgpca","learner30",0.666666666666667,"all_cells","validation",NA
"81","fold1","CVsplit2","corrgpca","learner31",0.666666666666667,"all_cells","validation",NA
"82","fold1","CVsplit2","corrgpca","learner32",0.555555555555556,"all_cells","validation",NA
"83","fold1","CVsplit2","corrgpca","learner33",0.777777777777778,"all_cells","validation",NA
"84","fold1","CVsplit2","corrgpca","learner34",0.666666666666667,"all_cells","validation",NA
"85","fold1","CVsplit2","corrgpca","learner35",0.666666666666667,"all_cells","validation",NA
"86","fold1","CVsplit2","corrgpca","learner36",0.555555555555556,"all_cells","validation",NA
"87","fold1","CVsplit2","corrgpca","learner37",0.666666666666667,"all_cells","validation",NA
"88","fold1","CVsplit2","corrgpca","learner38",0.666666666666667,"all_cells","validation",NA
"89","fold1","CVsplit2","corrgpca","learner39",0.666666666666667,"all_cells","validation",NA
"90","fold1","CVsplit2","corrgpca","learner40",0.666666666666667,"all_cells","validation",NA
"91","fold1","CVsplit2","corrgpca","learner41",0.666666666666667,"all_cells","validation",NA
"92","fold1","CVsplit2","corrgpca","learner42",0.666666666666667,"all_cells","validation",NA
"93","fold1","CVsplit2","corrgpca","learner43",0.555555555555556,"all_cells","validation",NA
"94","fold1","CVsplit2","corrgpca","learner44",0.666666666666667,"all_cells","validation",NA
"95","fold1","CVsplit2","corrgpca","learner45",0.666666666666667,"all_cells","validation",NA
"96","fold1","CVsplit2","corrgpca","learner46",0.555555555555556,"all_cells","validation",NA
"97","fold1","CVsplit2","corrgpca","learner47",0.666666666666667,"all_cells","validation",NA
"98","fold1","CVsplit2","corrgpca","learner48",0.555555555555556,"all_cells","validation",NA
"99","fold1","CVsplit2","corrgpca","learner49",0.666666666666667,"all_cells","validation",NA
"100","fold1","CVsplit2","corrgpca","learner50",0.666666666666667,"all_cells","validation",NA
"101","fold1","CVsplit3","corrgpca","learner01",0.888888888888889,"all_cells","validation",NA
"102","fold1","CVsplit3","corrgpca","learner02",0.777777777777778,"all_cells","validation",NA
"103","fold1","CVsplit3","corrgpca","learner03",0.777777777777778,"all_cells","validation",NA
"104","fold1","CVsplit3","corrgpca","learner04",0.888888888888889,"all_cells","validation",NA
"105","fold1","CVsplit3","corrgpca","learner05",0.888888888888889,"all_cells","validation",NA
"106","fold1","CVsplit3","corrgpca","learner06",0.777777777777778,"all_cells","validation",NA
"107","fold1","CVsplit3","corrgpca","learner07",0.888888888888889,"all_cells","validation",NA
"108","fold1","CVsplit3","corrgpca","learner08",0.777777777777778,"all_cells","validation",NA
"109","fold1","CVsplit3","corrgpca","learner09",0.888888888888889,"all_cells","validation",NA
"110","fold1","CVsplit3","corrgpca","learner10",0.888888888888889,"all_cells","validation",NA
"111","fold1","CVsplit3","corrgpca","learner11",0.888888888888889,"all_cells","validation",NA
"112","fold1","CVsplit3","corrgpca","learner12",0.777777777777778,"all_cells","validation",NA
"113","fold1","CVsplit3","corrgpca","learner13",0.888888888888889,"all_cells","validation",NA
"114","fold1","CVsplit3","corrgpca","learner14",0.888888888888889,"all_cells","validation",NA
"115","fold1","CVsplit3","corrgpca","learner15",0.777777777777778,"all_cells","validation",NA
"116","fold1","CVsplit3","corrgpca","learner16",0.777777777777778,"all_cells","validation",NA
"117","fold1","CVsplit3","corrgpca","learner17",0.777777777777778,"all_cells","validation",NA
