X,gene,within_across_fold_weighted_score,rank
122,PIF1,0.0025946081,0.475770925110132
123,ADAMTS1,0.0019923223,0.462555066079295
124,SFRP4,0.0019900875,0.458149779735683
125,CD52,0.0019622329,0.451541850220264
126,CXCR4,0.0019622329,0.451541850220264
127,RPL21P16,0.0019143404,0.44273127753304
128,RPL21P75,0.0019143404,0.44273127753304
129,LAMA2,0.0018216201,0.436123348017621
130,MTCO1P12,0.001805632,0.431718061674009
131,SLC5A3,0.0017887476,0.427312775330396
132,CCN1,0.0017719101,0.422907488986784
133,CCND2,0.0017546834,0.416299559471366
134,CLSTN2,0.0017546834,0.416299559471366
135,TPPP3,0.0015686507,0.409691629955947
136,CD69,0.0015485318,0.405286343612335
137,GLIPR1,0.0015177863,0.400881057268722
138,GADD45B,0.0014908964,0.39647577092511
139,HSPH1,0.0014811695,0.392070484581498
140,ADAM12,0.0014481146,0.387665198237885
141,MALAT1,0.0014240282,0.378854625550661
142,NEAT1,0.0014240282,0.378854625550661
143,XIST,0.0014240282,0.378854625550661
144,PPIAP22,0.0014150843,0.370044052863436
145,JUN,0.001382263,0.363436123348018
146,NFKBIA,0.001382263,0.363436123348018
147,CKS2,0.0013541553,0.348017621145374
148,H2AZ1,0.0013541553,0.348017621145374
149,HMGN2,0.0013541553,0.348017621145374
150,STMN1,0.0013541553,0.348017621145374
151,TUBA1B,0.0013541553,0.348017621145374
152,NKG7,0.0012829675,0.334801762114537
153,CFD,0.0012815607,0.328193832599119
154,TCF21,0.0012815607,0.328193832599119
155,EGR4,0.0012733016,0.3215859030837
156,FAM111B,0.0012719201,0.314977973568282
157,ZFP36L1,0.0012719201,0.314977973568282
158,MMP11,0.0012659008,0.308370044052863
159,BST2,0.0012567848,0.303964757709251
160,VCAN,0.0012547547,0.299559471365639
161,DERL3,0.0012427773,0.295154185022026
162,SOCS3,0.0012067958,0.290748898678414
163,CXCL3,0.0011926789,0.286343612334802
164,CENPA,0.0011701318,0.273127753303965
165,CENPE,0.0011701318,0.273127753303965
166,KIF20A,0.0011701318,0.273127753303965
167,PRC1,0.0011701318,0.273127753303965
168,SMC4,0.0011701318,0.273127753303965
169,ENSG00000285827.1,0.0011535007,0.259911894273128
170,ZCCHC12,0.0011517097,0.255506607929515
171,CST1,0.0010738321,0.251101321585903
172,FCER1G,0.0010547032,0.244493392070485
173,GPR183,0.0010547032,0.244493392070485
174,H19,0.0010513878,0.23568281938326
175,IGF2,0.0010513878,0.23568281938326
176,RPL7P9,0.0010276532,0.229074889867841
177,GNLY,0.0010247598,0.222466960352423
178,XCL1,0.0010247598,0.222466960352423
179,ID1,0.0010169088,0.213656387665198
180,ID3,0.0010169088,0.213656387665198
181,RPL17-C18orf32,0.0009873923,0.20704845814978
182,FABP5,0.0009816023,0.202643171806167
183,CRIP1,0.0009724273,0.198237885462555
184,ENSG00000244313.3,0.0009669486,0.191629955947137
185,RPS10-NUDT3,0.0009669486,0.191629955947137
186,DUSP6,0.0009556752,0.185022026431718
187,ENSG00000284779.2,0.0009529586,0.180616740088106
188,EDNRA,0.0009186354,0.174008810572687
189,ENSG00000280219.1,0.0009186354,0.174008810572687
190,TAGLN,0.0009134023,0.167400881057269
191,CKB,0.0008994708,0.162995594713656
192,SRGN,0.0008968649,0.158590308370044
193,COL14A1,0.0008788557,0.151982378854626
194,PGR,0.0008788557,0.151982378854626
195,C1QB,0.0008679809,0.143171806167401
196,CD14,0.0008679809,0.143171806167401
197,NBPF20,0.0008660833,0.136563876651982
198,MACF1,0.0008333154,0.13215859030837
199,TPX2,0.0008316946,0.127753303964758
200,EDN1,0.0008202623,0.121145374449339
201,PODXL,0.0008202623,0.121145374449339
202,ENSG00000285854.1,0.0008181103,0.114537444933921
203,H2AC13,0.0008125908,0.105726872246696
204,H3C3,0.0008125908,0.105726872246696
205,H4C6,0.0008125908,0.105726872246696
206,CFAP276,0.0008099611,0.0969162995594714
207,COL15A1,0.0008062035,0.092511013215859
208,COL21A1,0.0007624675,0.0881057268722467
209,THBS1,0.0007213167,0.0837004405286344
210,KRT19,0.0007147969,0.079295154185022
211,ENSG00000263809.1,0.0007131482,0.0748898678414097
212,C1RL,0.0007117874,0.0704845814977974
213,RASD1,0.0007098244,0.066079295154185
214,HSPA1A,0.0007048236,0.0594713656387665
215,HSPA1B,0.0007048236,0.0594713656387665
216,ENSG00000285043.1,0.0006932179,0.052863436123348
217,LINC02595,0.0006800103,0.0462555066079295
218,MAGI2,0.0006800103,0.0462555066079295
219,H3P6,0.0006718505,0.039647577092511
220,ANKRD36C,0.0006650227,0.0286343612334802
221,ARHGAP11B,0.0006650227,0.0286343612334802
222,DIAPH3,0.0006650227,0.0286343612334802
223,SYNE2,0.0006650227,0.0286343612334802
224,CSRP2,0.0006430078,0.0154185022026432
225,WIF1,0.0006430078,0.0154185022026432
226,INHBA,0.0006228853,0.00881057268722467
227,CXCL1,0.0006052983,0.00440528634361234
